Fixation_AOI_Carousel_position,Fixation_AOI_Movie_position_in_carousel,n_users_tasks,exam_freq,exam_row,inner_freq
6.0,14.0,362,15.242105263157896,1567,23.101467772814292
6.0,15.0,361,15.2,1567,23.03765156349713
7.0,1.0,1278,53.810526315789474,1456,87.77472527472527
7.0,2.0,1130,47.578947368421055,1456,77.60989010989012
7.0,3.0,1083,45.6,1456,74.38186813186813
7.0,4.0,1047,44.084210526315786,1456,71.90934065934066
7.0,5.0,989,41.642105263157895,1456,67.92582417582418
7.0,6.0,340,14.315789473684209,1456,23.35164835164835
7.0,7.0,371,15.621052631578946,1456,25.48076923076923
7.0,8.0,374,15.747368421052633,1456,25.686813186813183
7.0,9.0,386,16.25263157894737,1456,26.51098901098901
7.0,10.0,377,15.873684210526315,1456,25.892857142857146
7.0,11.0,300,12.631578947368421,1456,20.604395604395602
7.0,12.0,314,13.221052631578948,1456,21.565934065934066
7.0,13.0,321,13.515789473684212,1456,22.046703296703296
7.0,14.0,332,13.978947368421052,1456,22.802197802197803
7.0,15.0,341,14.357894736842105,1456,23.42032967032967
8.0,1.0,1161,48.88421052631579,1336,86.90119760479041
8.0,2.0,1016,42.77894736842106,1336,76.04790419161677
8.0,3.0,986,41.51578947368421,1336,73.80239520958084
8.0,4.0,899,37.852631578947374,1336,67.29041916167665
8.0,5.0,890,37.473684210526315,1336,66.61676646706587
8.0,6.0,318,13.389473684210525,1336,23.802395209580837
8.0,7.0,343,14.442105263157895,1336,25.673652694610777
8.0,8.0,342,14.399999999999999,1336,25.59880239520958
8.0,9.0,348,14.652631578947368,1336,26.047904191616766
8.0,10.0,344,14.484210526315788,1336,25.748502994011975
8.0,11.0,273,11.494736842105263,1336,20.434131736526943
8.0,12.0,295,12.421052631578949,1336,22.080838323353294
8.0,13.0,281,11.83157894736842,1336,21.03293413173653
8.0,14.0,306,12.88421052631579,1336,22.904191616766468
8.0,15.0,288,12.126315789473683,1336,21.55688622754491
9.0,1.0,1066,44.88421052631579,1211,88.02642444260943
9.0,2.0,951,40.04210526315789,1211,78.53014037985136
9.0,3.0,888,37.38947368421053,1211,73.32782824112304
9.0,4.0,845,35.578947368421055,1211,69.77704376548307
9.0,5.0,896,37.72631578947369,1211,73.98843930635837
9.0,6.0,309,13.010526315789473,1211,25.516102394715112
9.0,7.0,333,14.021052631578948,1211,27.49793559042114
9.0,8.0,337,14.189473684210526,1211,27.82824112303881
9.0,9.0,349,14.694736842105263,1211,28.819157720891823
9.0,10.0,344,14.484210526315788,1211,28.406275805119733
9.0,11.0,249,10.484210526315788,1211,20.561519405450042
9.0,12.0,269,11.326315789473684,1211,22.213047068538398
9.0,13.0,267,11.242105263157894,1211,22.04789430222956
9.0,14.0,271,11.410526315789474,1211,22.378199834847234
9.0,15.0,281,11.83157894736842,1211,23.20396366639141
10.0,1.0,929,39.11578947368421,1100,84.45454545454545
10.0,2.0,876,36.88421052631579,1100,79.63636363636364
10.0,3.0,885,37.26315789473684,1100,80.45454545454545
10.0,4.0,838,35.28421052631579,1100,76.18181818181819
10.0,5.0,835,35.1578947368421,1100,75.9090909090909
10.0,6.0,297,12.505263157894737,1100,27.0
10.0,7.0,322,13.557894736842105,1100,29.272727272727273
10.0,8.0,312,13.136842105263158,1100,28.363636363636363
10.0,9.0,334,14.063157894736841,1100,30.363636363636363
10.0,10.0,343,14.442105263157895,1100,31.181818181818183
10.0,11.0,255,10.73684210526316,1100,23.18181818181818
10.0,12.0,262,11.031578947368422,1100,23.81818181818182
10.0,13.0,265,11.157894736842106,1100,24.09090909090909
