Fixation_AOI_Carousel_position,Fixation_AOI_Movie_position_in_carousel,n_users_tasks,exam_freq,exam_row,inner_freq
6.0,3.0,839,0.5039039039039039,1108,0.7572202166064982
6.0,4.0,809,0.4858858858858859,1108,0.73014440433213
6.0,5.0,776,0.46606606606606604,1108,0.7003610108303249
6.0,6.0,282,0.16936936936936936,1108,0.2545126353790614
6.0,7.0,314,0.1885885885885886,1108,0.2833935018050541
6.0,8.0,304,0.1825825825825826,1108,0.2743682310469314
6.0,9.0,309,0.18558558558558558,1108,0.2788808664259928
6.0,10.0,307,0.1843843843843844,1108,0.2770758122743682
6.0,11.0,240,0.14414414414414414,1108,0.21660649819494585
6.0,12.0,246,0.14774774774774774,1108,0.22202166064981949
6.0,13.0,253,0.15195195195195196,1108,0.2283393501805054
6.0,14.0,260,0.15615615615615616,1108,0.23465703971119134
6.0,15.0,266,0.15975975975975976,1108,0.24007220216606498
7.0,1.0,917,0.5507507507507508,1030,0.8902912621359224
7.0,2.0,793,0.4762762762762763,1030,0.7699029126213592
7.0,3.0,761,0.45705705705705707,1030,0.7388349514563107
7.0,4.0,733,0.4402402402402402,1030,0.7116504854368932
7.0,5.0,701,0.421021021021021,1030,0.6805825242718446
7.0,6.0,247,0.14834834834834834,1030,0.23980582524271846
7.0,7.0,271,0.16276276276276277,1030,0.26310679611650484
7.0,8.0,278,0.16696696696696697,1030,0.26990291262135924
7.0,9.0,283,0.16996996996996996,1030,0.27475728155339807
7.0,10.0,276,0.16576576576576577,1030,0.26796116504854367
7.0,11.0,227,0.13633633633633635,1030,0.2203883495145631
7.0,12.0,235,0.14114114114114115,1030,0.22815533980582525
7.0,13.0,243,0.14594594594594595,1030,0.23592233009708738
7.0,14.0,246,0.14774774774774774,1030,0.23883495145631067
7.0,15.0,249,0.14954954954954955,1030,0.24174757281553397
8.0,1.0,818,0.4912912912912913,942,0.8683651804670913
8.0,2.0,717,0.4306306306306306,942,0.7611464968152867
8.0,3.0,697,0.4186186186186186,942,0.7399150743099787
8.0,4.0,632,0.3795795795795796,942,0.6709129511677282
8.0,5.0,624,0.3747747747747748,942,0.6624203821656051
8.0,6.0,231,0.13873873873873874,942,0.24522292993630573
8.0,7.0,247,0.14834834834834834,942,0.262208067940552
8.0,8.0,247,0.14834834834834834,942,0.262208067940552
8.0,9.0,251,0.15075075075075076,942,0.2664543524416136
8.0,10.0,246,0.14774774774774774,942,0.2611464968152866
8.0,11.0,203,0.12192192192192192,942,0.21549893842887474
8.0,12.0,218,0.13093093093093094,942,0.23142250530785563
8.0,13.0,205,0.12312312312312312,942,0.21762208067940553
8.0,14.0,220,0.13213213213213212,942,0.23354564755838642
8.0,15.0,206,0.12372372372372373,942,0.21868365180467092
9.0,1.0,749,0.4498498498498498,850,0.8811764705882353
9.0,2.0,667,0.4006006006006006,850,0.7847058823529411
9.0,3.0,618,0.37117117117117115,850,0.7270588235294118
9.0,4.0,595,0.35735735735735735,850,0.7
9.0,5.0,630,0.3783783783783784,850,0.7411764705882353
9.0,6.0,230,0.13813813813813813,850,0.27058823529411763
9.0,7.0,241,0.14474474474474475,850,0.28352941176470586
9.0,8.0,246,0.14774774774774774,850,0.28941176470588237
9.0,9.0,250,0.15015015015015015,850,0.29411764705882354
9.0,10.0,245,0.14714714714714713,850,0.28823529411764703
9.0,11.0,194,0.11651651651651651,850,0.22823529411764706
9.0,12.0,202,0.12132132132132133,850,0.2376470588235294
9.0,13.0,196,0.11771771771771772,850,0.23058823529411765
9.0,14.0,202,0.12132132132132133,850,0.2376470588235294
9.0,15.0,211,0.12672672672672672,850,0.24823529411764705
10.0,1.0,654,0.3927927927927928,776,0.8427835051546392
10.0,2.0,616,0.36996996996996995,776,0.7938144329896907
10.0,3.0,620,0.37237237237237236,776,0.7989690721649485
10.0,4.0,591,0.35495495495495494,776,0.7615979381443299
10.0,5.0,590,0.35435435435435436,776,0.7603092783505154
10.0,6.0,222,0.13333333333333333,776,0.2860824742268041
10.0,7.0,236,0.14174174174174173,776,0.30412371134020616
10.0,8.0,224,0.13453453453453454,776,0.28865979381443296
10.0,9.0,238,0.14294294294294294,776,0.30670103092783507
10.0,10.0,246,0.14774774774774774,776,0.3170103092783505
10.0,11.0,197,0.11831831831831832,776,0.2538659793814433
10.0,12.0,197,0.11831831831831832,776,0.2538659793814433
10.0,13.0,197,0.11831831831831832,776,0.2538659793814433
10.0,14.0,215,0.12912912912912913,776,0.2770618556701031
10.0,15.0,223,0.13393393393393394,776,0.28737113402061853
